student_name,age,class_level,favorite_topics,weak_topics,learning_style,study_hours,goals,motivation,assessment_feedback,preferred_difficulty,attention_span,previous_grades,extracurricular,career_interest
Jordan Smith,14,9th grade,"computer science, biology",chemistry,mixed visual and auditory,18,"improve grades in chemistry, excel in computer science",want to become an engineer,"excellent understanding of computer science, but should work on time management",challenging,89,"biology: A-, chemistry: B-",science olympiad,engineering
Jordan Smith,15,10th grade,"history, literature, computer science, physics",biology,reading and writing focused,8,"improve grades in biology, excel in computer science",want to help others through science,"demonstrates creativity in problem solving, but needs more practice with biology",medium,30,"computer science: B+, biology: C+",robotics club,engineering
Riley Brown,15,10th grade,"physics, biology, music","computer science, literature",kinesthetic hands-on learning,16,"improve grades in computer science, excel in music",love solving complex problems,"shows strong analytical thinking, but should work on time management",easy,79,"biology: B+, literature: B-",art club,medicine
Jordan Davis,16,11th grade,"biology, mathematics","art, computer science",mixed visual and auditory,15,"improve grades in art, excel in mathematics",enjoy understanding how things work,"good at connecting concepts, but should work on time management",easy,88,"mathematics: B+, computer science: C",science olympiad,medicine
Taylor Moore,15,10th grade,"geography, physics, mathematics, history",biology,mixed visual and auditory,7,"improve grades in biology, excel in history",want to help others through science,"excellent understanding of history, but needs more practice with biology",challenging,88,"mathematics: A, biology: C",chess club,medicine
Morgan Davis,17,12th grade,"computer science, art",physics,auditory learning through discussions,16,"improve grades in physics, excel in computer science",want to help others through science,"excellent understanding of art, but needs more practice with physics",medium,59,"computer science: A, physics: B-",robotics club,engineering
Taylor Wilson,17,12th grade,"art, chemistry",music,mixed visual and auditory,24,"improve grades in music, excel in art",want to help others through science,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,86,"chemistry: A, music: C+",robotics club,research
Alex Davis,14,9th grade,"art, biology, music, mathematics",geography,visual learning with diagrams and charts,6,"improve grades in geography, excel in art",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",challenging,36,"mathematics: A-, geography: C",debate team,engineering
Jordan Johnson,14,9th grade,"history, literature, music, biology","art, mathematics",reading and writing focused,15,"improve grades in art, excel in literature",interested in medical career,"shows strong analytical thinking, but needs to show more work in calculations",easy,55,"biology: A, art: C",art club,engineering
Avery Taylor,14,9th grade,"art, mathematics, physics, history",biology,reading and writing focused,11,"improve grades in biology, excel in art",interested in medical career,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,56,"history: A, biology: C+",science olympiad,medicine
Quinn Brown,14,9th grade,"art, mathematics, literature, music",history,visual learning with diagrams and charts,21,"improve grades in history, excel in mathematics",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with history",challenging,51,"art: A-, history: B-",art club,education
Avery Brown,18,13th grade,"computer science, biology, literature",chemistry,practical problem-solving approach,25,"improve grades in chemistry, excel in biology",love solving complex problems,"demonstrates creativity in problem solving, but needs more practice with chemistry",easy,88,"computer science: A, chemistry: C",robotics club,medicine
Alex Wilson,16,11th grade,"chemistry, geography, computer science","music, art, history",practical problem-solving approach,8,"improve grades in music, excel in geography",want to become an engineer,"shows strong analytical thinking, but could improve explanation clarity",medium,46,"computer science: A, art: B-",science olympiad,education
Riley Brown,17,12th grade,"mathematics, physics, history","chemistry, music",practical problem-solving approach,13,"improve grades in chemistry, excel in history",enjoy understanding how things work,"excellent understanding of history, but needs more practice with music",easy,39,"history: A-, chemistry: B-",art club,medicine
Casey Davis,17,12th grade,"mathematics, computer science","physics, biology",practical problem-solving approach,8,"improve grades in biology, excel in computer science",want to help others through science,"shows strong analytical thinking, but should work on time management",medium,23,"mathematics: A-, biology: B-",debate team,research
Quinn Miller,15,10th grade,"physics, history, mathematics, art","biology, music",kinesthetic hands-on learning,12,"improve grades in biology, excel in physics",fascinated by technology and innovation,"good at connecting concepts, but could improve explanation clarity",easy,55,"mathematics: B+, music: B-",science olympiad,engineering
Avery Miller,14,9th grade,"chemistry, computer science, mathematics",geography,practical problem-solving approach,15,"improve grades in geography, excel in mathematics",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",easy,75,"chemistry: A-, geography: C",robotics club,research
Morgan Brown,18,13th grade,"physics, computer science, art","literature, biology, music",auditory learning through discussions,18,"improve grades in music, excel in computer science",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,20,"computer science: A, biology: C",art club,education
Jordan Wilson,16,11th grade,"geography, music, biology","computer science, history, physics",mixed visual and auditory,25,"improve grades in physics, excel in music",want to become an engineer,"good at connecting concepts, but should work on time management",easy,38,"geography: A, computer science: C",art club,engineering
Taylor Johnson,17,12th grade,"music, biology, history","computer science, physics",visual learning with diagrams and charts,18,"improve grades in computer science, excel in music",fascinated by technology and innovation,"excellent understanding of history, but should work on time management",easy,78,"music: B+, physics: B-",art club,education
Quinn Wilson,16,11th grade,"music, art, history","biology, physics, geography",auditory learning through discussions,25,"improve grades in physics, excel in history",enjoy understanding how things work,"good at connecting concepts, but needs to show more work in calculations",easy,56,"music: A-, physics: C",art club,engineering
Jordan Moore,15,10th grade,"biology, history","chemistry, geography, physics",reading and writing focused,15,"improve grades in physics, excel in history",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,22,"history: A, geography: C",science olympiad,technology
Alex Moore,17,12th grade,"art, biology, geography, physics","literature, music",kinesthetic hands-on learning,17,"improve grades in literature, excel in physics",interested in medical career,"excellent understanding of art, but needs more practice with music",challenging,74,"biology: A, music: C+",science olympiad,technology
Avery Wilson,16,11th grade,"geography, literature","art, chemistry",visual learning with diagrams and charts,20,"improve grades in art, excel in geography",love solving complex problems,"excellent understanding of geography, but needs more practice with art",easy,45,"geography: A, art: C+",chess club,engineering
Jordan Brown,18,13th grade,"geography, computer science","chemistry, literature",kinesthetic hands-on learning,8,"improve grades in chemistry, excel in computer science",want to help others through science,"shows strong analytical thinking, but needs more practice with literature",challenging,51,"geography: B+, literature: B-",robotics club,education
Riley Johnson,14,9th grade,"art, history, literature",computer science,reading and writing focused,20,"improve grades in computer science, excel in history",love solving complex problems,"shows strong analytical thinking, but needs to show more work in calculations",easy,86,"literature: B+, computer science: B-",chess club,technology
Morgan Taylor,17,12th grade,"music, computer science, literature, history",mathematics,auditory learning through discussions,19,"improve grades in mathematics, excel in literature",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",easy,65,"literature: A-, mathematics: B-",science olympiad,education
